API_Num,Surf_Lat,Surf_Lon,Shale_Thk,Base_Shale,Log_Bot,Gross_H,Net_Sand,Total_Por,Water_Dep,Domain
1.77E+13,29.1406717,-92.6656644,72,10164.9,12510,2345.1,554,0.196,66,6
1.77E+13,28.481678,-91.537093,132,1166.23,11510.53,10344.3,2441,0.27,165,7
6.08E+13,26.9734806,-90.3376089,96,8472.5,17429,8956.5,2112,0.361,7729,11
6.08E+13,28.1636137,-90.3589143,75,9729.49,10140.12,410.63,96,0.219,481,4
1.77E+13,28.470963,-92.173793,247,2877.52,3950,1072.48,250,0.326,177,7
6.08E+13,27.228339,-90.0328926,57,15831.89,18067.01,2235.12,514,0.3214,6683,11
6.08E+13,28.241199,-88.4678703,135,15122.48,22167.2,7044.72,1610,0.309,5712,2
6.08E+13,28.1906166,-88.495387,66,17515.33,21750,4234.67,959,0.336,6050,2
1.77E+13,28.921002,-92.2270357,182,10925.71,14059,3133.29,701,0.159,87,6
1.77E+13,29.2605272,-91.4605204,252,14771.8,16616.1,1844.3,411,0.113,11,6
6.08E+13,27.669888,-90.360964,61,9961.93,13915.44,3953.51,876,0.391,3290,4
6.08E+13,27.858283,-91.4218459,80,7184.09,12026,4841.91,1072,0.259,853,4
1.77E+13,29.161785,-89.752243,68,6389.12,8651,2261.88,498.9,0.326,57,5
6.08E+13,27.8832456,-90.9016393,73,7770.51,12375.76,4605.25,1014,0.284,1353,4
1.77E+13,28.095001,-90.673616,54,5408.18,5959,550.82,120.3,0.24,412,8
6.08E+13,28.1942573,-89.1777272,135,6796.87,20015.91,13219.04,2886,0.3,3283,2
6.08E+13,27.8587376,-87.605339,148,15250.06,15782,531.94,114,0.369,9112,11
1.77E+13,29.500707,-93.528298,263,8332.07,12938,4605.93,986.8,0.234,36,15
6.08E+13,28.0336396,-89.100503,76,11529.1,17075,5545.9,1184,0.338,4000,2
6.08E+13,27.260265,-90.0000187,60,15343,18414.27,3071.27,648,0.257,4409,11
6.08E+13,28.8660541,-88.0563888,79,5826.23,14765.88,8939.65,1882,0.446,5418,2
1.77E+13,28.636097,-93.496359,87,3389.71,4318,928.29,195.4,0.352,110,10
1.77E+13,29.0820825,-92.6623812,58,9413.65,10774,1360.35,285,0.153,77,6
6.08E+13,28.2743498,-88.8394997,91,23439.05,24697.16,1258.11,263,0.316,4625,2
1.77E+13,29.000151,-91.250415,63,4960.09,12608,7647.91,1595.61,0.288,13,7
6.08E+13,27.8318889,-91.428749,126,10287.69,15144.02,4856.33,1007,0.457,1075,4
6.08E+13,27.822324,-91.7223392,69,5186.48,6780,1593.52,330,0.329,980,4
6.08E+13,28.7478028,-88.0938468,90,7581.81,16002.1,8420.29,1740,0.33,5836,2
1.77E+13,28.698309,-92.785135,41,2742.35,5800,3057.65,630,0.322,110,7
6.08E+13,28.1697231,-89.2229955,159,11694.01,18009.55,6315.54,1297,0.291,2945,2
4.27E+13,29.280239,-94.31428,106,6754.14,9033,2278.86,466.1,0.274,46,15
6.08E+13,28.1548606,-89.2354888,109,5807.11,11175.36,5368.25,1096,0.347,3013,2
6.08E+13,28.6346574,-87.9821896,85,7696.9,25324.5,17627.6,3597,0.144,7257,2
1.77E+13,28.104061,-90.792357,50,10422.99,10816.81,393.82,79.5,0.241,432,8
1.77E+13,29.506005,-93.745346,179,7232.54,10966,3733.46,752,0.37,35,15
6.08E+13,28.0362506,-90.8913582,196,4991.49,8216,3224.51,649,0.414,480,4
1.77E+13,28.650329,-91.33622,176,1104.79,15184,14079.21,2815,0.31,86,7
6.08E+13,27.9430238,-87.7056458,185,15506.3,16689,1182.7,236,0.42,8807,11
6.08E+13,27.9733921,-91.566784,61,4203.73,10420,6216.27,1234,0.25,718,4
6.08E+13,28.4725396,-88.102861,60,7327.99,16399,9071.01,1792,0.385,6940,2
6.08E+13,27.7844918,-90.9201878,50,7998.95,11985.15,3986.2,778,0.289,2100,4
6.08E+13,28.2569712,-89.2737479,71,3207.5,18057,14849.5,2896,0.3,2799,2
6.08E+13,27.9439875,-91.029259,62,8974.2,11997.13,3022.93,586,0.279,760,4
4.27E+13,28.16018,-94.737494,115,2913.7,6223,3309.3,641,0.276,175,16
1.77E+13,29.2450325,-91.6830587,85,11180.71,14790.8,3610.09,699,0.167,24,6
6.08E+13,28.0435564,-88.5714031,125,12356.36,16767,4410.64,852,0.348,6660,2
6.08E+13,27.9364262,-91.6522374,63,4466.06,5745.1,1279.04,246,0.511,650,4
6.08E+13,27.1711439,-90.1085107,64,15219.95,23952,8732.05,1674,0.332,7146,11
1.77E+13,28.598948,-91.20647,76,4557.94,11248,6690.06,1277.81,0.39,87,7
1.77E+13,28.948144,-89.251092,116,3964.41,6100,2135.59,405.8,0.313,110,21
6.08E+13,27.9439495,-91.029232,102,6257.15,14111,7853.85,1491,0.55,760,4
4.27E+13,28.283363,-95.493598,375,4551.82,8917,4365.18,822.9,0.202,120,17
4.27E+13,27.960678,-95.921163,166,3502.9,11435,7932.1,1494.2,0.242,168,17
6.08E+13,26.5345687,-90.5157385,588,20412.78,24954,4541.22,855,0.339,8835,11
1.77E+13,29.528025,-93.635528,163,7182.14,11431,4248.86,796.1,0.242,35,15
6.08E+13,27.8834526,-90.9015493,76,7835.33,11094,3258.67,607,0.3889,1353,4
6.08E+13,28.5679705,-88.2573914,96,6865.58,14013.36,7147.78,1328,0.498,6427,2
6.08E+13,28.4085966,-88.2174042,190,14371.08,16503.8,2132.72,395,0.2232,6590,2
6.08E+13,27.54395,-87.7655274,220,9377.5,27646,18268.5,3368,0.247,8951,11
1.77E+13,29.0818537,-91.488384,59,9483.9,10906,1422.1,262,0.294,26,6
6.08E+13,28.0315513,-89.9798676,150,10160.57,12064.64,1904.07,350,0.271,1853,2
1.77E+13,29.1518984,-92.6806778,88,11867.88,13390,1522.12,279,0.104,66,6
6.08E+13,26.1298864,-91.3621205,301,24931.72,26854,1922.28,352,0.273,7657,11
1.77E+13,28.944958,-90.053456,106,5547.6,13041.4,7493.8,1372,0.334,90,5
6.08E+13,27.735193,-92.740388,92,20476.42,21140,663.58,120.8,0.248,2115,13
1.77E+13,28.515763,-90.123027,116,5546.42,9066.72,3520.3,636.4,0.339,180,5
4.27E+13,28.245689,-96.263158,67,6449.19,8492,2042.81,368.9,0.241,72,17
1.77E+13,29.093249,-93.089233,135,4835.33,6227,1391.67,250.4,0.328,44,7
6.08E+13,27.8208409,-91.785132,69,13078.42,17939,4860.58,872,0.238,704,4
6.08E+13,28.4368707,-88.3529831,85,6685,15525,8840,1582,0.431,6266,2
6.08E+13,27.885557,-90.0662189,168,9294.28,10680.1,1385.82,248,0.356,2417,2
1.77E+13,28.351504,-93.047107,133,4977.69,7402.96,2425.27,433.5,0.284,175,10
1.77E+13,28.385081,-92.750447,90,4797.41,7601.84,2804.43,489.9,0.339,188,10
1.77E+13,28.9961439,-92.0163708,198,10157.52,12230.8,2073.28,357,0.293,62,6
1.77E+13,28.76919,-91.356276,59,3153.83,4790,1636.17,281.3,0.349,154,7
6.08E+13,28.0335836,-89.100645,65,5878.3,13666,7787.7,1334,0.393,4000,2
1.77E+13,28.384716,-90.810448,102,6221.63,10298,4076.37,697.1,0.312,148,8
1.77E+13,28.51578,-90.123046,94,6552.35,9304,2751.65,469.7,0.283,180,5
6.08E+13,27.6741137,-87.9311721,80,15146,17699,2553,435,0.432,8621,11
6.08E+13,27.7953827,-90.6476861,50,13637.54,17760,4122.46,702,0.513,2985,4
6.08E+13,27.6166705,-88.6598835,153,12133.43,13616,1482.57,252,0.399,5843,11
1.77E+13,29.542857,-88.5622,,3019.46,5719,2699.54,456.3,0.327,137,21
6.08E+13,27.8105021,-90.785777,,8771.31,17670.94,8899.63,1500,0.448,1939,4
6.08E+13,27.2504573,-90.0339856,,11963.77,17412,5448.23,916,0.321,5479,11
6.08E+13,28.1512007,-89.2458551,,5144.88,16352,11207.12,1882,0.232,3106,2
6.08E+13,26.2076186,-91.4429568,,25484.53,25703.2,218.67,36.5,0.314,6960,11
4.27E+13,28.127047,-95.715482,,4203.62,14029,9825.38,1630.6,0.316,134,17
6.08E+13,28.1906166,-88.495387,,6826.43,25709.24,18882.81,3119,0.386,6060,2
6.08E+13,27.8924275,-87.8076117,,12245.51,14570,2324.49,377,0.268,8572,11
6.08E+13,27.8964095,-90.4029554,,3972.57,15618,11645.43,1888,0.316,2345,4
6.08E+13,28.4108115,-88.6437343,,5447.75,23019,17571.25,2837,0.321,4749,2
1.77E+13,28.901893,-89.365919,,4162.72,10111,5948.28,960.3,0.316,90,21
4.27E+13,27.957245,-96.559232,,7632.48,10924,3291.52,530.3,0.223,87,17
6.08E+13,28.0231621,-88.139549,,8444.01,15929,7484.99,1205,0.348,7925,11
1.77E+13,29.653221,-88.864795,,2948.82,8519,5570.18,895.6,0.316,37,21
6.08E+13,28.0151824,-90.5942578,,7893.16,10434.96,2541.8,407,0.292,708,4
6.08E+13,27.8833116,-90.9016813,,7900.71,11690.73,3790.02,606,0.308,1353,4
6.08E+13,28.4688567,-88.2502182,,11365.12,18701.3,7336.18,1156,0.341,6500,2
